aerialway,cable_car,"Cablecar or Tramway. Just one or two large cars. The cable forms a loop, but the cars do not loop around, they just move up and down on their own side."
aerialway,chair_lift,"Chairlift. Looped cable with a series of single chairs (typically seating two or four people, but can be more). Exposed to the open air.  This implies oneway=yes.  Any two-way chairlifts should be tagged oneway=no."
aerialway,drag_lift,"Drag lift or Surface lift is an overhead tow-line for skiers and riders. A T-bar lift, button lift, or more simple looped rope drag lifts, or loops of wire with handles to grab. See also aerialway=t-bar, aerialway=j-bar and aerialway=platter."
aerialway,gondola,Gondola lift. Many cars on a looped cable.
aerialway,goods,A lift for goods. Passenger transport is usually not allowed
aerialway,j-bar,J-bar lift. A type of aerialway=drag_lift. Like t-bar but just on one side. This automatically implies oneway=yes.
aerialway,magic_carpet,Magic carpet. A type of ski lift. This automatically implies oneway=yes.
aerialway,mixed_lift,Mixed lift Also known as a hybrid lift is a new type of ski lift that combines the elements of a chairlift and a gondola lift.
aerialway,platter,"Platter lift. A type of aerialway=drag_lift. Similar to a t-bar, but with a disc instead of a bar. Single-person only. This automatically implies oneway=yes."
aerialway,pylon,Aerial lift pylon is a pylon supporting the aerialway cable.
aerialway,rope_tow,Rope tow. A type of aerialway=drag_lift. This automatically implies oneway=yes.
aerialway,station,"A station, where passengers can enter and/or leave the aerialway"
aerialway,t-bar,T-bar lift. A type of aerialway=drag_lift. This automatically implies oneway=yes.
aerialway,user defined,All commonly used values according to Taginfo
aeroway,aerodrome,Aerodrome in the United Kingdom or Airport in North America is used to map the main area details.
aeroway,apron,"Airport apron is an area where planes are parked, unloaded or loaded, refueled, or boarded."
aeroway,gate,Airport gate is used to mark the gate numbers at the airports where passengers wait before boarding their flight.
aeroway,helipad,Helipad is used to mark the landing area or platform for Helicopters
aeroway,hangar,Hangar is a structure to hold aircraft or spacecraft.
aeroway,navigationaid,Radio navigation aid is used to mark systems that determine a position on the Earth which helps pilots guide their aircraft during flight.
aeroway,runway,Runway is a rectangular area in which aerodrome are prepared for the landing and takeoff of aircraft.
aeroway,taxiway,"Taxiway is a path on an airport connecting runways with ramps, hangars, terminals and other facilities."
aeroway,terminal,Airport terminal is a building at an airport where passengers transfer between ground transportation and the facilities that allow them to board and disembark from aircraft.
aeroway,windsock,Windsock is designed to indicate wind direction and relative wind speed.
aeroway,User defined,All commonly used values according to Taginfo
amenity,bar,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these."
amenity,bbq,"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel=* to specify the source of heating, such as fuel=wood;electric;charcoal. For mapping nearby table and chairs, see also the tag tourism=picnic_site. For mapping campfires and firepits, instead use the tag leisure=firepit."
amenity,biergarten,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant."
amenity,cafe,"Cafe is generally an informal place that offers casual meals and beverages, typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet=*. See also the tags amenity=restaurant;bar;fast_food."
amenity,drinking_water,"Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or water tap."
amenity,fast_food,Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet=*.
amenity,food_court,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc."
amenity,ice_cream,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter
amenity,pub,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub
amenity,restaurant,"Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet=*."
amenity,college,A college campus or buildings
amenity,kindergarten,For children too young for a regular school (also known as playschool or nursery school).
amenity,library,"A public library (municipal, university, …) to borrow books from."
amenity,school,School and grounds
amenity,university,A university campus
amenity,bicycle_parking,Parking for bicycles
amenity,bicycle_rental,Rent a bicycle
amenity,boat_sharing,Share a Boat
amenity,bus_station,Has been replaced by public_transport=station.
amenity,car_rental,Rent a car
amenity,car_sharing,Share a car
amenity,car_wash,Wash a car
amenity,ev_charging,"Electric vehicle charging facility. Don't use, amenity=charging_station is preferred."
amenity,charging_station,Charging facility for electric vehicles
amenity,ferry_terminal,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.
amenity,fuel,Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service.
amenity,grit_bin,A container that holds grit or a mixture of salt and grit.
amenity,parking,Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be colored. Streets on car parking are often tagged highway=service and service=parking_aisle.
amenity,parking_entrance,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags  type=site and site=parking.Do not mix with amenity=parking.
amenity,parking_space,A single parking space. Group multiple parking spaces together with a relation using the tags  type=site and site=parking.Do not mix with amenity=parking.
amenity,taxi,A place where taxis wait for passengers.
amenity,atm,an ATM or cash point
amenity,bank,"a bank (for a bank that also has an ATM, it is preferred that a separate node for each ATM is added)"
amenity,bureau_de_change,"Bureau de change, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques"
amenity,baby_hatch,A place where you can drop a baby anonymously for adoption
